Semut,Step,Dari Kota,Ke Kota,Jarak,Pheromone,Probabilitas,Random R,Keputusan,Rute Sementara
Semut 46,52,30,48,553.1727,0.008728,1.000000,0.000000,Kembali ke Awal (Kota 48),48-24-5-15-40-37-6-23-20-50-16-34-36-35-39-1-49-32-22-43-45-19-41-8-10-31-3-29-12-44-26-51-21-18-46-25-4-13-47-52-11-28-27-14-38-9-33-7-2-42-17-30-48
Semut 47,1,35,36,15.0000,0.008248,0.550238,0.387497,Pindah ke Kota 36,35-36
Semut 47,2,36,40,85.0000,0.007860,0.052342,0.857423,Pindah ke Kota 40,35-36-40
Semut 47,3,40,34,92.1954,0.007856,0.037601,0.236018,Pindah ke Kota 34,35-36-40-34
Semut 47,52,14,35,1030.5945,0.007855,1.000000,0.000000,Kembali ke Awal (Kota 35),35-36-40-34-37-42-3-17-30-23-50-20-46-44-32-49-22-1-31-21-16-29-7-2-9-10-8-5-15-6-4-39-24-38-43-28-26-12-52-13-27-51-11-25-19-45-41-18-48-33-47-14-35
Semut 48,1,46,24,140.0893,0.007074,0.065182,0.302493,Pindah ke Kota 24,46-24
Semut 48,2,24,48,15.8114,0.007476,0.576768,0.739187,Pindah ke Kota 48,46-24-48
Semut 48,3,48,15,71.5891,0.007106,0.086979,0.345167,Pindah ke Kota 15,46-24-48-15
Semut 48,52,33,46,747.0107,0.007071,1.000000,0.000000,Kembali ke Awal (Kota 46),46-24-48-15-6-43-31-18-20-50-44-49-36-34-35-38-40-37-27-28-26-51-11-13-22-1-32-30-21-16-4-5-52-14-47-12-25-39-45-19-8-23-29-7-2-42-3-17-41-10-9-33-46
Semut 49,1,34,35,21.2132,0.006646,0.489712,0.221690,Pindah ke Kota 35,34-35
Semut 49,2,35,36,15.0000,0.006737,0.756124,0.201357,Pindah ke Kota 36,34-35-36
Semut 49,3,36,39,43.0116,0.006579,0.320674,0.444726,Pindah ke Kota 39,34-35-36-39
Semut 49,52,33,34,734.0981,0.006364,1.000000,0.000000,Kembali ke Awal (Kota 34),34-35-36-39-40-37-38-6-24-4-5-48-15-42-30-20-50-16-43-25-46-44-1-32-49-31-23-13-11-3-18-19-8-22-41-45-26-27-28-12-51-10-9-17-21-2-7-29-47-14-52-33-34
Semut 50,1,26,28,158.9025,0.005951,0.152698,0.584926,Pindah ke Kota 28,26-28
Semut 50,2,28,27,110.1136,0.006084,0.324264,0.422588,Pindah ke Kota 27,26-28-27
Semut 50,3,27,13,185.0676,0.005867,0.189687,0.241852,Pindah ke Kota 13,26-28-27-13
Semut 50,52,47,26,185.5398,0.005838,1.000000,0.000000,Kembali ke Awal (Kota 26),26-28-27-13-4-40-38-48-24-5-15-6-25-35-34-36-39-32-49-18-8-41-19-37-12-1-22-31-45-23-2-7-42-17-50-20-44-16-46-29-30-21-3-51-33-10-9-43-11-52-14-47-26
Semut 51,1,27,28,110.1136,0.005553,0.285719,0.671460,Pindah ke Kota 28,27-28
Semut 51,2,28,19,879.3321,0.005154,0.005764,0.380729,Pindah ke Kota 19,27-28-19
Semut 51,3,19,45,75.0000,0.005452,0.282885,0.846873,Pindah ke Kota 45,27-28-19-45
Semut 51,52,43,27,751.0326,0.005175,1.000000,0.000000,Kembali ke Awal (Kota 27),27-28-19-45-10-41-8-9-44-34-35-49-32-1-22-36-39-40-38-30-7-2-21-3-31-17-48-24-50-23-42-33-51-12-25-18-4-6-15-5-37-26-47-52-11-14-13-16-46-29-20-43-27
Semut 52,1,7,38,874.7142,0.004638,0.001577,0.757856,Pindah ke Kota 38,7-38
Semut 52,2,38,5,50.9902,0.004697,0.100130,0.038790,Pindah ke Kota 5,7-38-5
Semut 52,3,5,15,25.0000,0.005006,0.355417,0.363072,Pindah ke Kota 15,7-38-5-15
Semut 52,52,13,7,1440.3125,0.004638,1.000000,0.000000,Kembali ke Awal (Kota 7),7-38-5-15-37-40-34-35-44-31-18-21-23-50-20-22-1-39-48-24-4-25-29-42-2-49-32-3-41-8-19-45-36-12-46-14-51-27-28-26-47-10-9-16-30-43-17-6-52-33-11-13-7
Semut 53,1,43,5,266.6927,0.004175,0.047955,0.117650,Pindah ke Kota 5,43-5
Semut 53,2,5,24,31.6228,0.004341,0.197671,0.595513,Pindah ke Kota 24,43-5-24
Semut 53,3,24,44,183.9837,0.004175,0.004503,0.305752,Pindah ke Kota 44,43-5-24-44
Semut 53,52,29,43,770.6004,0.004182,1.000000,0.000000,Kembali ke Awal (Kota 43),43-5-24-44-16-34-37-38-40-39-32-1-35-36-49-19-10-9-17-41-8-22-23-50-30-2-42-7-21-45-20-46-12-4-25-48-18-31-3-26-27-47-13-28-6-15-33-51-11-52-14-29-43
Semut 54,1,30,18,385.0325,0.003774,0.023756,0.197076,Pindah ke Kota 18,30-18
Semut 54,2,18,23,229.4014,0.003762,0.027474,0.425314,Pindah ke Kota 23,30-18-23
Semut 54,3,23,17,418.0012,0.003764,0.010026,0.165087,Pindah ke Kota 17,30-18-23-17
Semut 54,52,14,30,1146.4838,0.003765,1.000000,0.000000,Kembali ke Awal (Kota 30),30-18-23-17-15-46-48-24-40-39-34-35-36-32-22-1-49-37-38-5-28-51-44-20-31-45-19-41-29-16-33-43-8-42-7-2-3-21-4-6-26-52-47-27-13-11-10-9-50-12-25-14-30
Semut 55,1,20,39,313.8471,0.003381,0.007156,0.303241,Pindah ke Kota 39,20-39
Semut 55,2,39,40,42.7200,0.003650,0.190098,0.849897,Pindah ke Kota 40,20-39-40
Semut 55,3,40,38,35.3553,0.003631,0.297325,0.794114,Pindah ke Kota 38,20-39-40-38
Semut 55,52,52,20,1186.0860,0.003381,1.000000,0.000000,Kembali ke Awal (Kota 20),20-39-40-38-46-35-36-34-37-15-5-24-48-12-27-26-32-22-1-31-50-23-21-7-2-42-3-44-19-28-13-30-11-51-33-49-18-10-9-8-41-45-43-4-47-16-29-14-17-25-6-52-20
Semut 56,1,26,25,412.0983,0.003061,0.021597,0.268261,Pindah ke Kota 25,26-25
Semut 56,2,25,4,109.2016,0.003181,0.135893,0.058482,Pindah ke Kota 4,26-25-4
Semut 56,3,4,15,100.1249,0.003068,0.115179,0.411948,Pindah ke Kota 15,26-25-4-15
Semut 56,52,41,26,1028.9922,0.003045,1.000000,0.000000,Kembali ke Awal (Kota 26),26-25-4-15-5-46-49-34-35-36-39-45-19-9-10-31-44-24-48-37-40-16-20-50-30-21-23-29-47-6-38-22-1-18-3-43-33-28-27-13-14-52-2-7-42-17-32-51-12-11-8-41-26
Semut 57,1,44,35,96.1769,0.002776,0.097172,0.526877,Pindah ke Kota 35,44-35
Semut 57,2,35,36,15.0000,0.003139,0.563877,0.350971,Pindah ke Kota 36,44-35-36
Semut 57,3,36,37,85.0000,0.002746,0.052479,0.577638,Pindah ke Kota 37,44-35-36-37
Semut 57,52,14,44,966.3980,0.002739,1.000000,0.000000,Kembali ke Awal (Kota 44),44-35-36-37-34-39-40-38-46-24-48-6-5-49-1-22-15-41-8-17-19-45-43-4-51-12-27-13-26-28-33-10-47-50-31-18-23-30-21-2-7-25-9-52-11-20-3-32-29-16-42-14-44
Semut 58,1,30,49,422.6701,0.002479,0.019592,0.910252,Pindah ke Kota 49,30-49
Semut 58,2,49,1,64.0312,0.002642,0.147759,0.094417,Pindah ke Kota 1,30-49-1
Semut 58,3,1,22,46.0977,0.002834,0.392927,0.232992,Pindah ke Kota 22,30-49-1-22
Semut 58,52,8,30,758.7654,0.002481,1.000000,0.000000,Kembali ke Awal (Kota 30),30-49-1-22-45-5-24-6-15-4-37-39-40-36-35-34-32-46-16-44-48-38-43-10-9-3-18-19-41-17-31-21-23-20-50-47-11-14-12-28-29-51-25-52-26-27-13-33-42-7-2-8-30
Semut 59,1,33,28,766.5507,0.002320,0.017919,0.516526,Pindah ke Kota 28,33-28
Semut 59,2,28,16,525.8564,0.002219,0.011348,0.255748,Pindah ke Kota 16,33-28-16
Semut 59,3,16,18,407.8296,0.002231,0.010743,0.132894,Pindah ke Kota 18,33-28-16-18
Semut 59,52,17,33,1120.2901,0.002236,1.000000,0.000000,Kembali ke Awal (Kota 33),33-28-16-18-21-20-23-19-45-8-41-32-49-46-37-38-15-24-48-5-6-25-40-39-34-36-35-4-43-10-9-7-2-42-29-44-1-22-31-3-50-26-27-52-47-12-14-51-11-13-30-17-33
Semut 60,1,41,8,64.0312,0.002386,0.432150,0.148698,Pindah ke Kota 8,41-8
Semut 60,2,8,32,338.7108,0.002003,0.027137,0.660043,Pindah ke Kota 32,41-8-32
Semut 60,3,32,49,50.0000,0.002219,0.329662,0.798727,Pindah ke Kota 49,41-8-32-49
Semut 60,52,47,41,1133.1593,0.001997,1.000000,0.000000,Kembali ke Awal (Kota 41),41-8-32-49-1-39-36-35-34-21-50-20-23-22-27-25-48-24-5-15-6-45-18-3-4-43-40-37-38-7-2-42-17-31-44-16-28-46-29-19-9-10-30-12-51-26-52-13-14-11-33-47-41
Semut 61,1,14,13,205.5480,0.002013,0.249582,0.268169,Pindah ke Kota 13,14-13
Semut 61,2,13,27,185.0676,0.002029,0.222759,0.526042,Pindah ke Kota 27,14-13-27
Semut 61,3,27,28,110.1136,0.002026,0.326295,0.652157,Pindah ke Kota 28,14-13-27-28
Semut 61,52,52,14,318.9044,0.001984,1.000000,0.000000,Kembali ke Awal (Kota 14),14-13-27-28-47-46-37-49-35-36-39-40-38-5-24-48-34-44-22-21-23-45-19-41-10-9-25-4-6-15-17-30-50-20-16-29-12-26-43-8-1-32-18-31-2-42-7-3-33-51-11-52-14
Semut 62,1,18,29,516.7688,0.001625,0.005220,0.448318,Pindah ke Kota 29,18-29
Semut 62,2,29,20,210.2974,0.001640,0.087437,0.273242,Pindah ke Kota 20,18-29-20
Semut 62,3,20,50,35.3553,0.002014,0.662160,0.458130,Pindah ke Kota 50,18-29-20-50
Semut 62,52,52,18,1381.2042,0.001618,1.000000,0.000000,Kembali ke Awal (Kota 18),18-29-20-50-22-8-41-24-48-37-35-36-39-38-40-15-5-6-49-19-45-3-31-30-26-47-13-27-28-14-12-51-11-4-17-34-44-46-25-21-23-1-32-9-10-43-33-2-42-7-16-52-18
Semut 63,1,44,46,130.8625,0.001552,0.053975,0.899747,Pindah ke Kota 46,44-46
Semut 63,2,46,5,170.6605,0.001492,0.047601,0.068372,Pindah ke Kota 5,44-46-5
Semut 63,3,5,48,47.4342,0.001521,0.082000,0.935999,Pindah ke Kota 48,44-46-5-48
Semut 63,52,16,44,132.3820,0.001617,1.000000,0.000000,Kembali ke Awal (Kota 44),44-46-5-48-24-39-35-34-36-40-37-38-6-15-8-10-9-17-29-1-49-32-41-45-31-23-22-30-50-20-11-26-52-51-4-25-33-43-21-42-2-7-18-3-19-28-27-14-13-12-47-16-44
Semut 64,1,43,10,307.7743,0.001449,0.039044,0.261326,Pindah ke Kota 10,43-10
Semut 64,2,10,41,243.9775,0.001416,0.047093,0.884174,Pindah ke Kota 41,43-10-41
Semut 64,3,41,39,407.0012,0.001310,0.008916,0.891009,Pindah ke Kota 39,43-10-41-39
Semut 64,52,19,43,367.7635,0.001318,1.000000,0.000000,Kembali ke Awal (Kota 43),43-10-41-39-37-40-38-3-28-15-6-48-24-5-4-17-18-22-1-44-16-21-20-23-31-50-29-46-32-34-35-36-49-45-8-9-2-7-42-47-26-27-12-51-11-13-52-14-33-25-30-19-43
Semut 65,1,38,6,86.3134,0.001292,0.034992,0.127160,Pindah ke Kota 6,38-6
Semut 65,2,6,5,35.3553,0.001317,0.297383,0.099635,Pindah ke Kota 5,38-6-5
Semut 65,3,5,48,47.4342,0.001293,0.108512,0.930556,Pindah ke Kota 48,38-6-5-48
Semut 65,52,29,38,484.2004,0.001180,1.000000,0.000000,Kembali ke Awal (Kota 38),38-6-5-48-24-15-43-35-36-31-18-1-34-39-40-16-46-37-42-2-7-30-20-50-23-17-21-22-45-19-32-49-44-8-9-10-41-3-25-4-51-12-14-52-13-27-11-47-26-28-33-29-38
Semut 66,1,3,22,240.5203,0.001068,0.044293,0.483742,Pindah ke Kota 22,3-22
Semut 66,2,22,18,116.2970,0.001132,0.053824,0.471086,Pindah ke Kota 18,3-22-18
Semut 66,3,18,39,305.0000,0.001061,0.017940,0.811313,Pindah ke Kota 39,3-22-18-39
Semut 66,52,12,3,891.3613,0.001063,1.000000,0.000000,Kembali ke Awal (Kota 3),3-22-18-39-5-15-38-24-37-34-35-25-48-47-26-31-1-23-32-49-36-44-30-50-20-16-41-19-45-33-43-14-13-27-4-6-40-46-8-10-9-29-21-17-7-42-2-52-11-51-28-12-3
Semut 67,1,19,41,91.9239,0.001149,0.188915,0.524538,Pindah ke Kota 41,19-41
Semut 67,2,41,42,796.4923,0.000960,0.002776,0.877276,Pindah ke Kota 42,19-41-42
Semut 67,3,42,2,102.5914,0.001355,0.280411,0.165685,Pindah ke Kota 2,19-41-42-2
Semut 67,52,52,19,1381.9551,0.000955,1.000000,0.000000,Kembali ke Awal (Kota 19),19-41-42-2-15-24-48-37-39-40-38-5-6-46-35-34-36-32-49-3-31-23-20-50-25-12-11-27-26-47-13-14-28-4-45-44-1-22-18-17-29-30-21-7-16-8-10-43-33-51-9-52-19
Semut 68,1,29,6,528.0152,0.000860,0.013218,0.074473,Pindah ke Kota 6,29-6
Semut 68,2,6,46,182.0027,0.000921,0.009832,0.920028,Pindah ke Kota 46,29-6-46
Semut 68,3,46,16,155.7241,0.000976,0.060129,0.189195,Pindah ke Kota 16,29-6-46-16
Semut 68,52,33,29,1095.6733,0.000924,1.000000,0.000000,Kembali ke Awal (Kota 29),29-6-46-16-42-7-2-24-21-22-1-32-34-37-15-48-5-38-40-39-36-35-44-23-20-50-30-31-49-8-41-19-43-25-51-11-12-26-47-13-27-28-52-14-9-10-3-18-45-17-4-33-29
Semut 69,1,43,12,484.3810,0.000776,0.014026,0.296918,Pindah ke Kota 12,43-12
Semut 69,2,12,51,188.2153,0.001009,0.138411,0.917295,Pindah ke Kota 51,43-12-51
Semut 69,3,51,27,410.4875,0.000797,0.043346,0.568168,Pindah ke Kota 27,43-12-51-27
Semut 69,52,52,43,1097.2010,0.000774,1.000000,0.000000,Kembali ke Awal (Kota 43),43-12-51-27-28-19-15-5-6-34-35-36-1-22-31-32-49-39-40-38-24-48-25-37-8-41-9-10-7-2-42-23-21-20-16-46-44-45-3-18-30-29-50-26-47-14-13-11-4-17-33-52-43
Semut 70,1,17,3,217.3131,0.000720,0.108260,0.154668,Pindah ke Kota 3,17-3
Semut 70,2,3,18,134.6291,0.000936,0.191834,0.324326,Pindah ke Kota 18,17-3-18
Semut 70,3,18,41,330.4921,0.000702,0.013646,0.856106,Pindah ke Kota 41,17-3-18-41
Semut 70,52,42,17,408.0747,0.000759,1.000000,0.000000,Kembali ke Awal (Kota 17),17-3-18-41-8-45-32-44-37-38-16-6-5-15-39-36-35-34-40-24-25-4-10-9-19-1-22-48-46-49-23-7-2-50-20-31-21-28-27-26-13-52-14-51-11-12-43-33-29-30-47-42-17
Semut 71,1,7,42,76.1577,0.000899,0.204133,0.982518,Pindah ke Kota 42,7-42
Semut 71,2,42,38,798.8899,0.000627,0.005827,0.913863,Pindah ke Kota 38,7-42-38
Semut 71,3,38,24,44.7214,0.000740,0.127593,0.290723,Pindah ke Kota 24,7-42-38-24
Semut 71,52,26,7,1190.0945,0.000627,1.000000,0.000000,Kembali ke Awal (Kota 7),7-42-38-24-48-40-37-4-25-51-33-43-1-31-18-39-36-35-34-20-50-23-15-5-6-32-49-45-8-41-19-46-22-47-16-44-21-30-29-13-27-28-12-52-2-3-17-9-10-11-14-26-7
Semut 72,1,7,2,45.0000,0.000997,0.709472,0.645850,Pindah ke Kota 2,7-2
Semut 72,2,2,42,102.5914,0.000893,0.639993,0.515748,Pindah ke Kota 42,7-2-42
Semut 72,3,42,39,728.8690,0.000564,0.015869,0.815414,Pindah ke Kota 39,7-2-42-39
Semut 72,52,33,7,1459.6318,0.000568,1.000000,0.000000,Kembali ke Awal (Kota 7),7-2-42-39-37-48-24-38-15-5-6-34-35-8-9-40-36-20-50-30-23-44-22-16-14-13-27-28-19-45-26-47-32-49-18-1-31-43-4-25-46-17-21-29-12-11-51-10-41-3-52-33-7
Semut 73,1,44,49,157.0032,0.000550,0.036184,0.938323,Pindah ke Kota 49,44-49
Semut 73,2,49,1,64.0312,0.000601,0.140138,0.102690,Pindah ke Kota 1,44-49-1
Semut 73,3,1,34,135.0926,0.000545,0.036273,0.790744,Pindah ke Kota 34,44-49-1-34
Semut 73,52,9,44,685.5837,0.000514,1.000000,0.000000,Kembali ke Awal (Kota 44),44-49-1-34-35-36-32-6-15-48-24-38-37-39-40-29-30-8-19-11-31-22-46-23-16-20-50-5-47-13-27-26-52-7-2-42-18-41-43-4-25-45-3-17-33-51-12-28-14-21-10-9-44
Semut 74,1,42,47,1092.5429,0.000533,0.001755,0.983463,Pindah ke Kota 47,42-47
Semut 74,2,47,32,845.0000,0.000507,0.008851,0.787575,Pindah ke Kota 32,42-47-32
Semut 74,3,32,35,130.3840,0.000459,0.035575,0.366734,Pindah ke Kota 35,42-47-32-35
Semut 74,52,43,42,1021.7632,0.000457,1.000000,0.000000,Kembali ke Awal (Kota 42),42-47-32-35-36-39-37-38-24-40-9-45-19-21-46-49-1-20-34-44-16-50-23-29-48-5-15-4-28-12-13-26-52-33-11-51-2-7-17-3-30-41-8-10-18-31-22-6-25-27-14-43-42
Semut 75,1,38,35,120.8305,0.000417,0.013799,0.416567,Pindah ke Kota 35,38-35
Semut 75,2,35,34,21.2132,0.000812,0.286535,0.163613,Pindah ke Kota 34,38-35-34
Semut 75,3,34,45,276.1340,0.000413,0.004930,0.918038,Pindah ke Kota 45,38-35-34-45
Semut 75,52,33,38,625.4998,0.000411,1.000000,0.000000,Kembali ke Awal (Kota 38),38-35-34-45-32-1-49-50-20-25-4-28-27-13-9-8-15-5-48-24-6-16-23-22-18-31-19-40-39-36-37-44-30-42-7-2-3-41-10-43-46-29-47-26-52-11-51-12-21-17-14-33-38
Semut 76,1,42,30,315.1587,0.000440,0.020391,0.930220,Pindah ke Kota 30,42-30
Semut 76,2,30,46,481.2744,0.000370,0.014056,0.855922,Pindah ke Kota 46,42-30-46
Semut 76,3,46,17,708.2549,0.000411,0.002602,0.248418,Pindah ke Kota 17,42-30-46-17
Semut 76,52,16,42,639.5311,0.000410,1.000000,0.000000,Kembali ke Awal (Kota 42),42-30-46-17-22-49-32-36-35-34-39-40-38-51-26-27-28-12-4-25-6-5-15-48-8-9-10-18-44-1-50-23-20-37-41-19-45-2-7-31-21-29-33-24-11-13-14-52-43-47-3-16-42
Semut 77,1,34,36,33.5410,0.000405,0.136105,0.832783,Pindah ke Kota 36,34-36
Semut 77,2,36,35,15.0000,0.000764,0.817178,0.717186,Pindah ke Kota 35,34-36-35
Semut 77,3,35,24,152.9706,0.000333,0.026896,0.222569,Pindah ke Kota 24,34-36-35-24
Semut 77,52,17,34,561.4713,0.000347,1.000000,0.000000,Kembali ke Awal (Kota 34),34-36-35-24-48-38-16-51-12-14-28-27-13-11-40-6-5-15-4-44-46-19-8-41-39-32-49-1-22-18-21-23-50-20-45-43-25-37-9-10-3-30-31-47-7-42-2-29-33-26-52-17-34
Semut 78,1,7,2,45.0000,0.000741,0.743981,0.151924,Pindah ke Kota 2,7-2
Semut 78,2,2,42,102.5914,0.000599,0.688811,0.394138,Pindah ke Kota 42,7-2-42
Semut 78,3,42,21,289.9138,0.000317,0.102117,0.365428,Pindah ke Kota 21,7-2-42-21
Semut 78,52,30,7,385.5191,0.000325,1.000000,0.000000,Kembali ke Awal (Kota 7),7-2-42-21-18-43-15-5-50-20-31-23-22-36-35-34-38-39-40-12-48-37-16-29-1-44-45-10-9-41-19-6-24-25-4-46-8-32-49-3-17-33-27-52-26-28-13-14-47-11-51-30-7
Semut 79,1,3,22,240.5203,0.000289,0.041755,0.500802,Pindah ke Kota 22,3-22
Semut 79,2,22,1,46.0977,0.000489,0.461964,0.149084,Pindah ke Kota 1,3-22-1
Semut 79,3,1,34,135.0926,0.000322,0.047259,0.388100,Pindah ke Kota 34,3-22-1-34
Semut 79,52,33,3,903.3964,0.000283,1.000000,0.000000,Kembali ke Awal (Kota 3),3-22-1-34-35-36-39-40-37-24-15-5-48-38-26-27-28-12-25-4-6-46-32-49-19-45-7-2-23-50-20-16-44-41-8-10-9-43-18-17-42-30-29-31-21-51-14-13-47-11-52-33-3
Semut 80,1,14,52,318.9044,0.000400,0.109639,0.895008,Pindah ke Kota 52,14-52
Semut 80,2,52,29,1081.9543,0.000243,0.009847,0.738875,Pindah ke Kota 29,14-52-29
Semut 80,3,29,50,191.3766,0.000279,0.104788,0.924885,Pindah ke Kota 50,14-52-29-50
Semut 80,52,13,14,205.5480,0.000553,1.000000,0.000000,Kembali ke Awal (Kota 14),14-52-29-50-23-30-20-4-6-15-5-24-48-37-49-32-1-31-22-40-38-16-34-35-39-36-45-19-8-41-9-33-25-28-27-46-44-47-26-12-43-10-21-18-3-17-51-11-7-2-42-13-14
Semut 81,1,16,6,328.8237,0.000279,0.017251,0.062031,Pindah ke Kota 6,16-6
Semut 81,2,6,40,120.4159,0.000274,0.019384,0.907957,Pindah ke Kota 40,16-6-40
Semut 81,3,40,39,42.7200,0.000558,0.260263,0.847024,Pindah ke Kota 39,16-6-40-39
Semut 81,52,29,16,200.8109,0.000300,1.000000,0.000000,Kembali ke Awal (Kota 16),16-6-40-39-32-49-37-15-24-48-5-4-23-22-50-20-44-34-35-36-28-26-51-38-19-45-12-41-8-9-10-43-33-25-46-31-18-3-21-1-30-42-2-7-17-11-13-27-47-14-52-29-16
Semut 82,1,25,4,109.2016,0.000505,0.248124,0.026230,Pindah ke Kota 4,25-4
Semut 82,2,4,5,104.4031,0.000281,0.116941,0.032105,Pindah ke Kota 5,25-4-5
Semut 82,3,5,6,35.3553,0.000400,0.156129,0.023584,Pindah ke Kota 6,25-4-5-6
Semut 82,52,51,25,392.7467,0.000240,1.000000,0.000000,Kembali ke Awal (Kota 25),25-4-5-6-40-38-15-39-36-35-45-19-41-34-44-49-22-8-9-10-26-43-33-17-37-1-32-29-31-18-3-42-7-2-21-30-12-28-27-13-14-52-11-16-50-20-24-48-46-23-47-51-25
Semut 83,1,7,2,45.0000,0.000713,0.803023,0.750992,Pindah ke Kota 2,7-2
Semut 83,2,2,17,494.7727,0.000177,0.011235,0.053374,Pindah ke Kota 17,7-2-17
Semut 83,3,17,41,442.6342,0.000188,0.023530,0.839450,Pindah ke Kota 41,7-2-17-41
Semut 83,52,10,7,1095.7304,0.000193,1.000000,0.000000,Kembali ke Awal (Kota 7),7-2-17-41-8-32-49-40-5-15-39-35-34-36-16-44-50-20-29-33-43-45-19-3-18-1-48-24-38-37-23-21-31-28-12-27-13-14-52-11-51-4-6-46-25-47-26-42-30-22-9-10-7
Semut 84,1,20,24,378.4508,0.000218,0.002410,0.091583,Pindah ke Kota 24,20-24
Semut 84,2,24,48,15.8114,0.000610,0.763135,0.496793,Pindah ke Kota 48,20-24-48
Semut 84,3,48,34,133.4166,0.000168,0.017175,0.509792,Pindah ke Kota 34,20-24-48-34
Semut 84,52,22,20,223.6068,0.000162,1.000000,0.000000,Kembali ke Awal (Kota 20),20-24-48-34-39-36-35-18-17-32-25-4-51-5-15-47-19-45-30-50-1-49-44-8-41-9-10-28-27-26-21-3-31-7-2-42-23-29-6-38-37-40-46-16-12-43-13-14-52-11-33-22-20
Semut 85,1,12,40,465.2956,0.000179,0.015891,0.724839,Pindah ke Kota 40,12-40
Semut 85,2,40,39,42.7200,0.000415,0.250185,0.878968,Pindah ke Kota 39,12-40-39
Semut 85,3,39,18,305.0000,0.000167,0.002803,0.071244,Pindah ke Kota 18,12-40-39-18
Semut 85,52,52,12,618.5669,0.000160,1.000000,0.000000,Kembali ke Awal (Kota 12),12-40-39-18-49-32-22-1-31-3-38-48-24-15-6-5-4-25-46-34-35-36-37-44-50-20-16-30-21-43-41-8-45-19-13-11-14-27-28-47-26-51-33-42-2-7-17-23-29-10-9-52-12
Semut 86,1,3,42,550.0909,0.000182,0.008035,0.880070,Pindah ke Kota 42,3-42
Semut 86,2,42,7,76.1577,0.000292,0.437912,0.757440,Pindah ke Kota 7,3-42-7
Semut 86,3,7,2,45.0000,0.000696,0.964058,0.258020,Pindah ke Kota 2,3-42-7-2
Semut 86,52,13,3,1247.7580,0.000129,1.000000,0.000000,Kembali ke Awal (Kota 3),3-42-7-2-30-21-36-35-34-44-11-52-27-28-26-37-38-48-24-6-15-5-4-32-49-45-19-8-41-9-10-50-20-40-39-43-51-12-25-46-16-1-22-33-17-31-23-29-18-47-14-13-3
Semut 87,1,13,11,442.7189,0.000283,0.036664,0.034347,Pindah ke Kota 11,13-11
Semut 87,2,11,51,285.0439,0.000339,0.252985,0.665088,Pindah ke Kota 51,13-11-51
Semut 87,3,51,32,767.3493,0.000119,0.007964,0.736553,Pindah ke Kota 32,13-11-51-32
Semut 87,52,30,13,1056.1842,0.000122,1.000000,0.000000,Kembali ke Awal (Kota 13),13-11-51-32-49-34-35-36-39-40-37-38-5-6-15-4-25-43-16-50-20-44-46-19-45-23-42-7-2-31-18-3-17-1-22-21-8-41-9-10-29-12-28-27-47-26-33-14-52-48-24-30-13
Semut 88,1,28,26,158.9025,0.000243,0.113898,0.339610,Pindah ke Kota 26,28-26
Semut 88,2,26,27,126.1943,0.000246,0.358198,0.485544,Pindah ke Kota 27,28-26-27
Semut 88,3,27,11,417.4326,0.000120,0.025826,0.069334,Pindah ke Kota 11,28-26-27-11
Semut 88,52,52,28,513.9309,0.000114,1.000000,0.000000,Kembali ke Awal (Kota 28),28-26-27-11-13-8-41-25-42-7-2-15-5-32-39-36-35-34-44-20-50-16-29-1-22-49-37-40-38-24-48-43-45-19-3-18-31-23-4-46-33-51-12-6-21-17-9-10-30-47-14-52-28
Semut 89,1,52,12,618.5669,0.000152,0.027404,0.191167,Pindah ke Kota 12,52-12
Semut 89,2,12,51,188.2153,0.000295,0.203748,0.958100,Pindah ke Kota 51,52-12-51
Semut 89,3,51,5,499.9250,0.000133,0.028667,0.100870,Pindah ke Kota 5,52-12-51-5
Semut 89,52,40,52,1060.3891,0.000094,1.000000,0.000000,Kembali ke Awal (Kota 52),52-12-51-5-15-6-26-27-37-38-24-48-1-22-31-20-50-16-29-44-34-35-36-39-46-25-4-3-10-9-8-41-19-45-32-49-43-33-18-17-21-2-7-42-30-23-28-14-13-47-11-40-52
Semut 90,1,4,25,109.2016,0.000450,0.237085,0.737521,Pindah ke Kota 25,4-25
Semut 90,2,25,46,173.3494,0.000328,0.170968,0.735396,Pindah ke Kota 46,4-25-46
Semut 90,3,46,16,155.7241,0.000195,0.093018,0.174045,Pindah ke Kota 16,4-25-46-16
Semut 90,52,28,4,417.4326,0.000116,1.000000,0.000000,Kembali ke Awal (Kota 4),4-25-46-16-35-36-39-37-40-38-5-15-6-24-48-1-22-50-20-23-30-44-34-49-32-18-3-21-31-29-12-51-11-13-14-33-26-27-7-2-42-17-8-19-45-9-10-41-43-52-47-28-4
Semut 91,1,48,40,80.6226,0.000084,0.004537,0.992278,Pindah ke Kota 40,48-40
Semut 91,2,40,38,35.3553,0.000303,0.326449,0.559929,Pindah ke Kota 38,48-40-38
Semut 91,3,38,5,50.9902,0.000215,0.159541,0.133725,Pindah ke Kota 5,48-40-38-5
Semut 91,52,43,48,313.2491,0.000129,1.000000,0.000000,Kembali ke Awal (Kota 48),48-40-38-5-15-6-24-44-50-20-23-34-35-36-39-37-16-11-12-25-4-46-22-3-49-32-1-30-21-33-29-18-31-10-9-8-41-19-45-51-27-13-14-52-26-47-28-7-2-42-17-43-48
Semut 92,1,14,13,205.5480,0.000491,0.519998,0.123916,Pindah ke Kota 13,14-13
